Titel,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Personen,Externe Person,Startdatum,Schlussdatum,Externe Organisationen,Organisationseinheit,Externe Organisation,Veranstaltung
SASE (Society for the Advancement of Socio-Economics) (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Hager, Theresa",,2022-03-01,2024-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,SASE (Society for the Advancement of Socio-Economics),
SASE (Society for the Advancement of Socio-Economics) (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Pühringer, Stephan",,2018-01-01,2024-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,SASE (Society for the Advancement of Socio-Economics),
SASE (Society for the Advancement of Socio-Economics) (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Kapeller, Jakob",,2019-01-01,2024-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,SASE (Society for the Advancement of Socio-Economics),
SASE (Society for the Advancement of Socio-Economics) (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Hornykewycz, Anna",,2022-06-01,2024-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,SASE (Society for the Advancement of Socio-Economics),
Wissenschaftstheorie und Ökonomie,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2017-05-08,2017-05-08,,Institut für Volkswirtschaftslehre (+1 weitere),Ruhr-Universität Bochum,
Pluralismus in der Ökonomie: Philosophische Perspektiven,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2022-10-25,2022-10-25,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Ruhr-Universität Bochum,
Mobilitätswende Produzieren - Konversionspotenziale für nachhaltige Mobilität,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Porak, Laura",,2025-10-03,2025-10-03,,Socio-Ecological Transformation Lab (+1 weitere),Rosa-Luxemburg-Stiftung,
"Research Area Coordinator im Bereich ""Economic Sociology"" der European Association for Evolutionary Political Economy (EAEPE) (Externe Organisation)",,Mitgliedschaft/Funktion,Mitglied,"Pühringer, Stephan",,2019-09-13,2023-04-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,"Research Area Coordinator im Bereich ""Economic Sociology"" der European Association for Evolutionary Political Economy (EAEPE)",
Mehr Beteiligung durch direkte Demokratie?,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Plaimer, Wolfgang",,2012-12-03,2012-12-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Renner Institut Oberösterreich,
Geschichte der Wirtschaftspolitik,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2023-01-19,2023-01-19,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Radio Wissen Bayern2,
Wettbewerb infrage - neue Podcastreihe,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2021-01-05,2021-01-05,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Radio Orange 94.0,
Welche Ökonomie wollen wir?,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2015-11-27,2015-11-27,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,"Radio FRO, FROZINE",
EU-Krise: Neue Chancen für Europa?,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Schütz, Bernhard",,2017-05-11,2017-05-11,,Institut für Volkswirtschaftslehre (+1 weitere),Radio FRO Freies Radio OÖ,
Märkte als Richter – Angela Merkels Sprechen über die Krise,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2015-10-19,2015-10-19,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,"Radio Dreyeckland, Focus Europa",
"""Märkte als Richter"" - Stephan Pühringer über Merkels Sprechen über die Krise",Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2015-10-19,2015-10-19,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,"Radio Dreyeckland, Focus Europa",
Junge Forschung #9 mit Anna Hornykewycz,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2024-03-01,2024-03-01,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,"Podcast ""In der Wirtschaft""",
Kann man soziale Verantwortung lehren?,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2016-07-28,2016-07-28,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Oxiblog.de,
Hintergründe zur Staatsschuldenkrise: wie denken die handelnden Akteure?,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2012-05-09,2012-05-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Österreichischen Hochschülerschaft Linz,
Österreichische Gesellschaft für Soziologie (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Aistleitner, Matthias",,2021-01-01,2027-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Österreichische Gesellschaft für Soziologie,
Österreichische Gesellschaft für Soziologie (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Pühringer, Stephan",,2021-01-01,2027-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Österreichische Gesellschaft für Soziologie,
Italy myths and the future of Europe,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2021-09-23,2021-09-23,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Österreichische Botschaft in Italien,
Organization: Research Area Economic Sociology (Externe Organisation),,Mitgliedschaft/Funktion,Vorsitzende*r,"Pühringer, Stephan",,2024-09-03,2024-09-07,,Linz Institute for Transformative Change (LIFT C) (+1 weitere),Organization: Research Area Economic Sociology,
Wie reich ist Österreich? Studienautor Kapeller live im Studio,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2013-08-05,2013-08-05,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,ORF on,
Think-Tanks: Neue Akteure im politischen Diskurs,Science-to-public,Vortrag oder Präsentation,Vortragende*r,,"Plehwe, Dieter",2022-02-02,2022-02-02,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,ORF Ö1,
Think-Tanks: Neue Akteure im politischen Diskurs,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2022-02-02,2022-02-02,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,ORF Ö1,
City Science Talk: Solidarität,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2020-01-08,2020-01-08,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,ORF Ö1,
Die vielen Facetten des Reichtums in Österreich,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Schütz, Bernhard",,2017-11-23,2017-11-23,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,ORF Ö1,
Wo lassen denken? Die unsichtbare Macht von Think Tanks,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2020-02-20,2020-02-20,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,ORF Ö1,
Solidarität – Wandel eines starken Begriffs,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2020-01-08,2020-01-08,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,ORF Ö1,
"Think Tanks, Ökonomen und Politik",unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-03-31,2016-03-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,okto.tv,
Die Denkfabrik der Millionäre,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-05-12,2016-05-12,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,okto.tv,
Das ABC der Finanzwelt - G wie Great Depression B,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2018-12-12,2018-12-12,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Ö1 Radiokelleg,
Silvio Gesell und die Freiwirtschaftslehre,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Beyer, Karl",,2018-07-18,2018-07-18,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Ö1 Radiokelleg,
Wissenschaft und Wettbewerb,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2023-03-16,2023-03-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,NUWiss (Netzwerk Unterbau Wissenschaft),
Netzwerk Plurale Ökonomik (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Gräbner-Radkowitsch, Claudius",,2010-01-01,2024-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Netzwerk Plurale Ökonomik,
Netzwerk Ökonomische Bildung und Beratung (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Gräbner-Radkowitsch, Claudius",,2018-01-01,2024-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Netzwerk Ökonomische Bildung und Beratung,
Prekäre Wissenschaft: Warum Unis reformiert werden müssen,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2022-12-21,2022-12-21,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,mosaik - Das Medium für Bewegung und Politik,
Momentum Congress Hallstatt (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Kapeller, Jakob",,2008-01-01,2020-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Momentum Congress Hallstatt,
Vermögen wächst auch mit Vermögenssteuer weiter,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2019-10-23,2019-10-23,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,moment.at,
"Sozialer Schein, aber wirtschaftsliberale Positionen",Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2021-12-02,2021-12-02,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,"Mitteldeutscher Rundfunk, mdr",
Mitglied Vorstand Mattersburger Kreis für Entwicklungspolitik (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Eder, Julia Theresa",,2025-01-14,2025-01-14,,Socio-Ecological Transformation Lab (+1 weitere),Mitglied Vorstand Mattersburger Kreis für Entwicklungspolitik,
Member of the Equal Opportunities Commission for Germany (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Kapeller, Jakob",,2024-02-01,2025-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Member of the Equal Opportunities Commission for Germany,
Member of Social Media Team of European Association for Evolutionary Political Economy (EAEPE) (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Hager, Theresa",,2022-12-01,2023-06-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Member of Social Media Team of European Association for Evolutionary Political Economy (EAEPE),
"Member of Pre-Conference Organizing Team, European Association for Evolutionary Political Economy (Externe Organisation)",,Mitgliedschaft/Funktion,Mitglied,"Hornykewycz, Anna",,2023-01-01,2025-09-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,"Member of Pre-Conference Organizing Team, European Association for Evolutionary Political Economy",
Delegating Decarbonization: How InvestEU empowers financial capital at the expense of a democratic governance of EU industrial policy,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Porak, Laura",,2025-01-01,2025-01-01,Radboud University Nijmegen,Socio-Ecological Transformation Lab (+1 weitere),Max-Planck-Institut für Gesellschaftsforschung,
Delegating Decarbonization: How InvestEU empowers financial capital at the expense of a democratic governance of EU industrial policy,Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Wigger, Angela",2025-01-01,2025-01-01,Radboud University Nijmegen,Socio-Ecological Transformation Lab (+1 weitere),Max-Planck-Institut für Gesellschaftsforschung,
Verteilungstendenzen im globalen Kapitalismus. Eine plurale Perspektive.,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2017-05-04,2017-05-04,,Institut für Volkswirtschaftslehre (+1 weitere),Martin-Luther-Universität Halle-Wittenberg,
Pluralismus in der Ökonomie: Eine wissenschaftstheoretische Perspektive,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2015-06-09,2015-06-09,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),Martin-Luther-Universität Halle-Wittenberg,
Hintergründe der Staatsschuldenkrise – wie denken die handelnden Akteure?,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2012-09-17,2012-09-17,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Management Club Salzburg,
Pluralism in Economics: Perspectives from Philosophy of Science,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2015-02-05,2015-02-05,,Institut für Philosophie und Wissenschaftstheorie (+1 weitere),Maastricht University,
Plurale volkswirtschaftliche Ideengeschichte,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2021-04-29,2021-04-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Leuphana University Lüneburg,
Ökonomische Effekte der Verkehrsreform des Landes Tirol,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2018-06-04,2018-06-04,,Institut für Volkswirtschaftslehre (+1 weitere),Landeshauptmannschaft Tirol,
Ökonomische Effekte der Verkehrsreform des Landes Tirol,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Schütz, Bernhard",,2018-06-04,2018-06-04,,Institut für Volkswirtschaftslehre (+1 weitere),Landeshauptmannschaft Tirol,
Die Politische Ökonomie der Vermögenskonzentration in Österreich,Science-to-public,Vortrag oder Präsentation,Keynote Speaker,"Pühringer, Stephan",,2025-05-21,2025-05-21,,Socio-Ecological Transformation Lab (+2 weitere),Kurswechsel und Beigewum,
Sozialökologische Transformation braucht andere Wirtschaft,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2023-12-14,2023-12-14,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Kulturhof Amstetten,
Wirtschaft anders denken? – Der Beitrag einer pluralen Ökonomie,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2023-05-04,2023-05-04,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Kulturhof Amstetten,
Welche Wirtschaft(swissenschaft) braucht Sozialökologische Transformation?,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2023-12-14,2023-12-14,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Kulturhaus Amstetten,
Ökonomische Theorie und öffentliche Meinung,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2014-07-09,2014-07-09,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Kueser Akademie (Alfter bei Bonn),
Interview zu: Ist die Preisexplosion begründet,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2022-06-08,2022-06-08,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Kronen Zeitung,
Pluralismus in der Ökonomik? Zur Frage von Machtverhältnissen und Homogenität in der deutschsprachigen Ökonomik.,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Grimm, Christian",,2016-11-07,2016-11-07,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Kritische Wirtschaftswissenschaften Göttingen,
Workshop zu: Philosophien der Verteilungsgerechtigkeit,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2016-01-07,2016-01-07,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Kreuzschwesternschule Linz,
Reichtum in Österreich,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2017-10-30,2017-10-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,kontrast.at,
Kontext Institut (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Theine, Hendrik",,2024-01-01,2025-01-01,,Socio-Ecological Transformation Lab (+1 weitere),Kontext Institut,
Woher kommt das Geld?,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2024-10-15,2024-10-15,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Klocker Museum,
Wer ist schuld an der Staatsschuld?,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2011-11-07,2011-11-07,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Kepler Salon,
Der Markt-Begriff im Neoliberalismus,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2010-11-30,2010-11-30,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Katholisch-Theologische Privatuniversität Linz,
Finanzmärkte und Postdemokratie,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Ötsch, Walter",,2012-08-27,2012-08-27,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Katholisches Bildungswerk Wien (Groß-Enzersdorf),
Pandemic pushes polarization: Macroeconomic divergence in the Eurozone,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2021-04-23,2021-04-23,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Käte Hamburger Kolleg,
Zeitlichkeit und Tauschfähigkeit bei Rosa Luxemburg und Joseph Alois Schumpeter,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Hirte, Katrin",,2016-09-24,2016-09-24,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Justus‐Liebig‐Universität Giessen,
Jury Vorsitz Kurt-Rothschild-Preis (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Kapeller, Jakob",,2020-01-01,2025-12-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Jury Vorsitz Kurt-Rothschild-Preis,
Journal of Institutional Economics (Externe Organisation),,Mitgliedschaft/Funktion,Mitglied,"Gräbner-Radkowitsch, Claudius",,2021-10-01,2021-10-31,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Journal of Institutional Economics,
Reforming the EU’s fiscal rules: Output gap estimates and fiscal policy in Belgium and beyond,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2021-11-26,2021-11-26,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,Joint Vienna Institute,
Fiskalpolitik und europäischer Integrationsprozess,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Heimberger, Philipp",,2021-05-11,2021-05-11,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,JEF Münster NRW,
