Titel,Personen,Jahr,Peer-Review erfolgt,Übergeordneter Typ,Serienvolumen,Seriennummer,Serienname,APA-Format,Organisationseinheit
On the Impact of the Trump Administration on Media and Media Regulation in Europe,"Theine, Hendrik",2025,begutachtet,Beitrag in Fachzeitschrift,,,,"Tröger, M., & Theine, H. (2025). On the Impact of the Trump Administration on Media and Media Regulation in Europe. Journalism Research, 8(1), 94-106. https://doi.org/10.1453/2569-152X-12025-15004-en",Socio-Ecological Transformation Lab
Communication about economic inequality: a systematic review,"Theine, Hendrik",2025,begutachtet,Beitrag in Fachzeitschrift,,,,"Vaughan, M., Theine, H., Schieferdecker, D., & Waitkus, N. (2025). Communication about economic inequality: a systematic review. Annals of the International Communication Association, 49(3), 147-158. https://doi.org/10.1093/anncom/wlaf006",Socio-Ecological Transformation Lab
"Über Reichtum berichten. Der ""Gute Rat für Rückverteilung"" in den Medien","Verita, Carlotta (+1 weitere)",2025,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,79,OBS-Arbeitspapier,"Theine, H., Verita, C., & Gartiser, M. (2025). Über Reichtum berichten. Der ""Gute Rat für Rückverteilung"" in den Medien. (OBS-Arbeitspapier; Nr. 79). https://www.otto-brenner-stiftung.de/was-wir-tun/publikationen/ueber-reichtum-berichten/",Socio-Ecological Transformation Lab
Ungleichheiten in der grünen Transformation: Die prädistributive Macht von Infrastrukturen,"Terhorst, Carlotta",2025,begutachtet,Beitrag in Fachzeitschrift,,,,"Wansleben, L., & Terhorst, C. (2025). Ungleichheiten in der grünen Transformation: Die prädistributive Macht von Infrastrukturen. Zeitschrift für Soziologie, 54(3), 342-361. https://doi.org/10.1515/zfsoz-2025-2023",Socio-Ecological Transformation Lab
Gender Norms and Network Structure: A Model of the Intrahousehold Division of Labor,"Hager, Theresa",2025,begutachtet,Beitrag in Fachzeitschrift,,,,"Hager, T., Mellacher, P., & Rath, M. (2025). Gender Norms and Network Structure: A Model of the Intrahousehold Division of Labor. Feminist Economics, 31(3), 237-274. https://doi.org/10.1080/13545701.2025.2549406",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Transforming Economics from the Side Lane?,"Bäuerle, Lukas",2025,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,170,ICAE Working Paper Series,"Bäuerle, L., & Maasen, S. (2025). Transforming Economics from the Side Lane? The New Economy Space and its Thinktanks. (ICAE Working Paper Series; Nr. 170). https://www.jku.at/fileadmin/gruppen/108/ICAE_Working_Papers/wp170.pdf",Socio-Ecological Transformation Lab
Theorizing competition,"Pühringer, Stephan (+2 weitere)",2025,begutachtet,Beitrag in Fachzeitschrift,,,,"Altreiter, C., Gräbner-Radkowitsch, C., Pühringer, S., & Rogojanu, A. et al. (2025). Theorizing competition: An interdisciplinary framework. Competition & Change, 29(5), 593-614. https://doi.org/10.1177/10245294251330343",Socio-Ecological Transformation Lab
“Taxing the Palaces”,"Theine, Hendrik",2025,begutachtet,Beitrag in Fachzeitschrift,,,,"Drahoss, E., & Theine, H. (2025). “Taxing the Palaces”: Dissecting the Media Discourse of Red Vienna’s Wealth Tax Policy. Journalism History. Vorzeitige Online-Publikation. https://doi.org/10.1080/00947679.2025.2540342",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Mobilitätswende produzieren – Eine Allianz für den europäischen Bahnausbau schaffen,"Eder, Julia Theresa",2025,Nicht festgelegt,Beitrag in populärwissenschaftlicher Zeitschrift,,,,"Eder, J. (2025). Mobilitätswende produzieren – Eine Allianz für den europäischen Bahnausbau schaffen. EU-Infobrief, 2025(3), 18-25. https://emedien.arbeiterkammer.at/viewer/image/AC05712646_2025_3/18/#topDocAnchor",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Greening the European economy at the expense of other world regions?,"Eder, Julia Theresa",2025,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,168,ICAE Working Paper,"Eder, J., & Rammer, J. (2025). Greening the European economy at the expense of other world regions? Tracing the EU's quest for green hydrogen in Chile. (ICAE Working Paper; Nr. 168). https://www.jku.at/fileadmin/gruppen/108/ICAE_Working_Papers/wp168.pdf",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Gemeinwohl oder Privateigentum? Die Positionen der deutschsprachigen Presse in der Debatte über eine Freigabe der Corona-Impfstoffpatente,"Theine, Hendrik",2025,begutachtet,Beitrag in Fachzeitschrift,,,,"Polkowski, J., Theine, H., & Krüger, U. (2025). Gemeinwohl oder Privateigentum? Die Positionen der deutschsprachigen Presse in der Debatte über eine Freigabe der Corona-Impfstoffpatente. Studies in Communication and Media, 14(2), 234-260. https://doi.org/10.5771/2192-4007-2025-2-234",Socio-Ecological Transformation Lab
Netz­wer­ke der Super­rei­chen:,"Hieselmayr, Sophie (+3 weitere)",2024,begutachtet,Beitrag in Fachzeitschrift,,,,"Cserjan, L., Hieselmayr, S., Aistleitner, M., & Pühringer, S. (2024). Netz­wer­ke der Super­rei­chen: Zur poli­ti­schen Öko­no­mie der Ver­mö­gens­kon­zen­tra­ti­on in Österreich. Kurswechsel, 2024(3). https://www.beigewum.at/kurswechsel/netzwerke-der-superreichen-zur-politischen-oekonomie-der-vermoegenskonzentration-in-oesterreich/",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Die Bereitstellung von leistbarem Wohnraum in Zeiten der Wohnkrise,"Altreiter, Carina",2023,begutachtet,Beitrag in Fachzeitschrift,,,,"Litschauer, K., Kumnig, S., Kohout, R., & Wolfmayr, G. et al. (2023). Die Bereitstellung von leistbarem Wohnraum in Zeiten der Wohnkrise: Deutungen und Praktiken der Wiener Gemeinnützigkeit. DISP, 59(3), 33-49. https://doi.org/10.1080/02513625.2023.2288448",Socio-Ecological Transformation Lab
Strategies of Capital Accumulation in Times of Land Scarcity. A Field Perspective on Social Housing Construction in Vienna,"Altreiter, Carina",2024,begutachtet,Beitrag in Fachzeitschrift,,,,"Altreiter, C., & Litschauer, K. (2024). Strategies of Capital Accumulation in Times of Land Scarcity. A Field Perspective on Social Housing Construction in Vienna. Forum for Social Economics, 53(2), 216-232. https://doi.org/10.1080/07360932.2022.2125423",Socio-Ecological Transformation Lab
Die EU zwischen strategischer Autonomie und Unterordnung unter die USA,"Porak, Laura (+1 weitere)",2025,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,165,ICAE Working Papers,"Eder, J., & Porak, L. (2025). Die EU zwischen strategischer Autonomie und Unterordnung unter die USA. (ICAE Working Papers; Nr. 165).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Mobilitätswende produ­zieren: Warum die Bahn­industrie jetzt im Zentrum stehen muss,"Eder, Julia Theresa (+2 weitere)",2025,Nicht festgelegt,Elektronische/multimediale Veröffentlichungen,,,,"Eder, J., Pühringer, S., & Cserjan, L. (2025). Mobilitätswende produ­zieren: Warum die Bahn­industrie jetzt im Zentrum stehen muss. Blog Beitrag",Socio-Ecological Transformation Lab
Die EU zwischen strategischer Autonomie und Unterordnung unter die USA,"Porak, Laura (+1 weitere)",2026,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Eder, J., & Porak, L. (2026). Die EU zwischen strategischer Autonomie und Unterordnung unter die USA. In Multiple Krise und neue Konstellationen des Kapitalismus: Elemente einer Bestandsaufnahme (1 Aufl.). Verlag Westfälisches Dampfboot. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Greening the European economy at the expense of other world regions? Tracing the EU’s quest for green hydrogen in Chile,"Eder, Julia Theresa",2025,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Eder, J., & Rammer, J. (2025). Greening the European economy at the expense of other world regions? Tracing the EU’s quest for green hydrogen in Chile. In Critical Political Economy of the European Polycrisis (1 Aufl., S. 209-224). Edward Elgar Publishing. https://doi.org/10.4337/9781035347940_14",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"“We Need Long-Term Thinking, Predictability, and Reliability”","Bäuerle, Lukas",2025,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,,,"Bäuerle, L., Barkey, M., Sagvosdkin, V., & Semb, J. (2025). “We Need Long-Term Thinking, Predictability, and Reliability”: Imagined Futures of the German Heating and Housing Transition. https://doi.org/10.2139/ssrn.5180335",Socio-Ecological Transformation Lab
System-induced transition inertia in the transformation of the German heating and housing sector,"Bäuerle, Lukas",2025,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,,,"Semb, J., Bäuerle, L., & Sagvosdkin, V. (2025). System-induced transition inertia in the transformation of the German heating and housing sector. https://doi.org/10.2139/ssrn.5406252",Socio-Ecological Transformation Lab
„Der Weg zur Zerstörung ist mit guten Absichten gepflastert.”,"Kreissl, Katharina (+1 weitere)",2025,begutachtet,Beitrag in Fachzeitschrift,,,,"Hofbauer, J., Kreissl, K., & Pühringer, S. (2025). „Der Weg zur Zerstörung ist mit guten Absichten gepflastert.”: Über die ökonomischen, sozialen und epistemischen Kosten von Reformen im Wissenschafts- und Universitätssystem. Kurswechsel, (2), 12-22.",Socio-Ecological Transformation Lab
Displacing ordoliberalism in favour of EU sovereignty: An analysis of green EU industrial policy from a Cultural Political Economy perspective,"Porak, Laura",2025,begutachtet,Beitrag in Fachzeitschrift,,,,"Porak, L. (2025). Displacing ordoliberalism in favour of EU sovereignty: An analysis of green EU industrial policy from a Cultural Political Economy perspective. Der moderne Staat, 18(1), 17-34. https://doi.org/10.3224/dms.v18i1.02",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
On the Nexus of Economic Knowledge Production and Expertise in Policymaking,"Porak, Laura",2025,begutachtet,Beitrag in Fachzeitschrift,,,,"Reinke, R., & Porak, L. (2025). On the Nexus of Economic Knowledge Production and Expertise in Policymaking. Historical Social Research, 50(2), 376-404. https://doi.org/10.12759/hsr.50.2025.28",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Vermögensverteilung in Österreich: Eine Analyse auf Basis des HFCS 2021/22,"Hornykewycz, Anna (+1 weitere)",2024,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,,Materialien zu Wirtschaft und Gesellschaft - Working Paper-Reihe der AK Wien,"Heck, I., Hornykewycz, A., Kapeller, J., & Wildauer, R. (2024). Vermögensverteilung in Österreich: Eine Analyse auf Basis des HFCS 2021/22. (1 Aufl.) (S. 1-34). (Materialien zu Wirtschaft und Gesellschaft - Working Paper-Reihe der AK Wien). https://emedien.arbeiterkammer.at/viewer/image/AC17296950/",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Networks of the super-rich in Austria. Evidence from an explorative case study,"Aistleitner, Matthias (+2 weitere)",2022,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,,Materialien zu Wirtschaft und Gesellschaft - Working Paper-Reihe der AK Wien,"Pühringer, S., Aistleitner, M., & Griesebner, T. (2022). Networks of the super-rich in Austria. Evidence from an explorative case study. (Materialien zu Wirtschaft und Gesellschaft -  Working Paper-Reihe der AK Wien). https://emedien.arbeiterkammer.at/viewer/image/AC16689081/",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Bestände und Konzentration privater Vermögen in Österreich,"Ferschli, Benjamin (+2 weitere)",2017,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,,Materialien zu Wirtschaft und Gesellschaft - Working Paper-Reihe der AK Wien,"Kapeller, J., Ferschli, B., Schütz, B., & Wildauer, R. (2017). Bestände und Konzentration privater Vermögen in Österreich. (167 Aufl.) (Materialien zu Wirtschaft und Gesellschaft - Working Paper-Reihe der AK Wien).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Development models in the EU: opportunities and challenges,"Kapeller, Jakob (+1 weitere)",2024,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Kapeller, J., & Gräbner-Radkowitsch, C. (2024). Development models in the EU: opportunities and challenges. In U. Glassmann, & C. Gräbner-Radkowitsch (Hrsg.), Jahrbuch Ökonomie und Gesellschaft (Band 35, S. 49-80)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Mobilitätswende produzieren,"Porak, Laura (+4 weitere)",2025,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,162,ICAE Working Paper Series,"Cserjan, L., Eder, J. T., Hornykewycz, A., & Porak, L. et al. (2025). Mobilitätswende produzieren: Produktionsbedingungen der österreichischen Bahnindustrie und industrielle Potenziale durch den Ausbau des öffentlichen Verkehrs. (ICAE Working Paper Series; Nr. 162). https://www.jku.at/fileadmin/gruppen/108/ICAE_Working_Papers/wp162.pdf",Socio-Ecological Transformation Lab
Trends in economic inequality and news mediascape,"Theine, Hendrik",2020,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Theine, H., & Grabner, D. (2020). Trends in economic inequality and news mediascape. In Economic Inequality and News Media: Discourse, Power, and Redistribution (S. 21-47). Oxford University Press. https://doi.org/10.1093/oso/9780190053901.003.0002",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Stagnation, social tensions, unfairness. Economic inequality as a problem","Theine, Hendrik",2020,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Grabner, D., Grisold, A., & Theine, H. (2020). Stagnation, social tensions, unfairness. Economic inequality as a problem. In Economic Inequality and News Media: Discourse, Power, and Redistribution (S. 144-168). Oxford University Press. https://doi.org/10.1093/oso/9780190053901.003.0008",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Voluntary individual carbon trading. Friend or foe?,"Theine, Hendrik",2018,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Spash, C. L., & Theine, H. (2018). Voluntary individual carbon trading. Friend or foe? In The Cambridge Handbook of Psychology and Economic Behaviour, Second Edition (S. 595-624). Cambridge University Press 2005. https://doi.org/10.1017/9781316676349.021",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"“Now, What Exactly is the Problem?“ Media Coverage of Economic Inequalities and Redistribution Policies. The Piketty Case","Theine, Hendrik",2020,begutachtet,Beitrag in Fachzeitschrift,,,,"Grisold, A., & Theine, H. (2020). “Now, What Exactly is the Problem?“ Media Coverage of Economic Inequalities and Redistribution Policies. The Piketty Case. Journal of Economic Issues, 54(4), 1071-1094. https://doi.org/10.1080/00213624.2020.1829905",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Debating inequality: The case of Piketty's capital in the 21st century,"Theine, Hendrik",2022,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Grisold, A., & Theine, H. (2022). Debating inequality: The case of Piketty's capital in the 21st century. In The Media and Inequality (S. 176-191). Taylor and Francis. https://doi.org/10.4324/9781003104476-16",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Media and economic inequality: Review of prior research,"Theine, Hendrik",2020,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Grisold, A., & Theine, H. (2020). Media and economic inequality: Review of prior research. In Economic Inequality and News Media: Discourse, Power, and Redistribution (S. 70-88). Oxford University Press. https://doi.org/10.1093/oso/9780190053901.003.0004",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Integrating environmental issues within party manifestos. Exploring trends across European welfare states,"Theine, Hendrik",2022,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Derndorfer, J., Hoffmann, R., & Theine, H. (2022). Integrating environmental issues within party manifestos. Exploring trends across European welfare states. In Towards Sustainable Welfare States in Europe (S. 80-107). Edward Elgar Publishing Ltd.. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Is this feasible? Policy proposals such as a global wealth tax,"Theine, Hendrik",2020,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Grisold, A., Rieder, M., & Theine, H. (2020). Is this feasible? Policy proposals such as a global wealth tax. In Economic Inequality and News Media: Discourse, Power, and Redistribution (S. 169-188). Oxford University Press. https://doi.org/10.1093/oso/9780190053901.003.0009",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
