Titel,Typ,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Listenindex,Personen,Externe Person,Startdatum,Schlussdatum
Verein für Socialpolitik (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2019-01-01,2024-12-31
Young Economists Conference der AK Wien: (UN-)EMPLOYMENT IN TIMES OF TECHNICAL PROGRESS AND ECONOMIC CRISIS (Externe Organisation),"Ausschuss, Komitee oder Jury",,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2016-10-04,2016-10-05
Member of Social Media Team of European Association for Evolutionary Political Economy (EAEPE) (Externe Organisation),Sonstige Mitgliedschaft/Funktion,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2022-12-01,2023-06-30
European Association for Evolutionary Political Economy (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2022-01-01,2026-12-31
Member of the Equal Opportunities Commission for Germany (Externe Organisation),"Ausschuss, Komitee oder Jury",,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2024-02-01,2025-12-31
SASE (Society for the Advancement of Socio-Economics) (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2022-03-01,2024-12-31
Women and Gender Forum Commitee of the Society for the Advancement of Socio-Economics (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2022-11-01,2023-12-31
YSI Philosophy of Economics Working Group Coordinator (Externe Organisation),Sonstige Mitgliedschaft/Funktion,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Rath, Johanna",,2024-11-21,2024-11-21
"Institutions, Industry Structure, Evolution - Complexity Approaches to Economics (Veranstaltung)",Programm-Komitee,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius","Heinrich, Torsten",2017-09-21,2017-09-21
Young Economists Conference der AK Wien: European Integration at a Crossroads (Veranstaltung),Programm-Komitee,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Schütz, Bernhard",,2017-10-12,2017-10-13
SASE (Society for the Advancement of Socio-Economics) (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2018-01-01,2024-12-31
Gesellschaft für sozio*ökonomische Bildung & Wissenschaft (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2017-01-01,2024-12-31
World Economics Association (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2017-01-01,2018-12-31
European Association for Evolutionary Political Economy (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2017-01-01,2024-12-31
Gesellschaft für sozio*ökonomische Bildung & Wissenschaft (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2018-01-01,2019-12-31
American Economic Association (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2014-01-01,2024-12-31
Association for Heterodox Economics (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2015-01-01,2019-12-31
Association for Evolutionary Economics (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2015-01-01,2024-12-31
Association for Social Economics (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2018-01-01,2024-12-31
Österreichische Gesellschaft für Soziologie (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2021-01-01,2027-12-31
American Economic Association (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2014-01-01,2024-12-31
Arbeitskreis Politische Ökonomie (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2018-01-01,2024-12-31
Society for the Advancement of Socio-Economics (SASE) (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2025-01-01,2025-12-31
"Young economists conference der Arbeiterkammer Wien zum Thema ""Welfare State under Attack"" (Veranstaltung)",Programm-Komitee,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2018-10-08,2018-10-09
Journal of Institutional Economics (Externe Organisation),Sonstige Mitgliedschaft/Funktion,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2021-10-01,2021-10-31
European Association for Evolutionary Political Economy (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2013-01-01,2024-12-31
SASE (Society for the Advancement of Socio-Economics) (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2019-01-01,2024-12-31
European Association for Evolutionary Political Economy (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2016-01-01,2024-12-31
Structural change and technological upgrading in times of globalization (Veranstaltung),Programm-Komitee,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Hafele, Jakob (+1 weitere)",,2018-11-08,2018-11-10
Organization: Research Area Economic Sociology (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Vorsitzende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2024-09-03,2024-09-07
European Association for Evolutionary Political Economy (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2019-06-01,2025-06-30
"Research Area Coordinator im Bereich ""Economic Sociology"" der European Association for Evolutionary Political Economy (EAEPE) (Externe Organisation)",Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2019-09-13,2023-04-29
Mitglied Vorstand Mattersburger Kreis für Entwicklungspolitik (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Eder, Julia Theresa",,2025-01-14,2025-01-14
"Member of Pre-Conference Organizing Team, European Association for Evolutionary Political Economy (Externe Organisation)",Sonstige Mitgliedschaft/Funktion,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2023-01-01,2025-09-30
European Association for Evolutionary Political Economy (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias",,2018-01-01,2024-12-31
European Association for Evolutionary Political Economy (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2014-01-01,2024-12-31
American Economic Association (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2014-01-01,2024-12-31
SASE (Society for the Advancement of Socio-Economics) (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2022-06-01,2024-12-31
Historical Network Research (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2009-11-01,2024-09-30
Jury Vorsitz Kurt-Rothschild-Preis (Externe Organisation),"Ausschuss, Komitee oder Jury",,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2020-01-01,2025-12-31
Inclusive Economics Prize Jury (Externe Organisation),"Ausschuss, Komitee oder Jury",,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2022-01-01,2025-12-31
Gleichstellungskommission zur Verfassung des Gleichstellungsberichtes der Bundesregierung (Externe Organisation),"Ausschuss, Komitee oder Jury",,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2023-01-01,2025-12-31
Deutsche Gesellschaft für Netzwerkforschung (Externe Organisation),Wissenschaftliche Gesellschaft,,Mitgliedschaft/Funktion,Mitglied,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2016-12-05,2024-09-30
Degrowth Journal (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Theine, Hendrik",,2025-01-01,
Communication & Society (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Theine, Hendrik",,2025-01-01,2025-01-01
Momentum Quarterly (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Theine, Hendrik",,2025-01-01,
Journalism (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Theine, Hendrik",,2025-01-01,
Competition & Change (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Theine, Hendrik",,2025-01-01,
Wirtschaft und Gesellschaft - WuG (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Theine, Hendrik",,2025-01-01,
Journalism & Mass Communication Quarterly (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Theine, Hendrik",,2025-01-01,
New Political Economy (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2025-01-01,
The Annals of Regional Science (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2025-01-01,
PLOS Sustainability and Transformation (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2025-12-22,2025-12-22
International Review of Economics (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Porak, Laura",,2025-11-04,2025-11-26
Review of Evolutionary Political Economy (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Porak, Laura",,2025-11-01,2025-11-24
Sozioökonomische Bildung und Wissenschaft (Fachzeitschrift oder Schriftenreihe),Herausgebertätigkeit,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Bäuerle, Lukas",,2024-10-01,2026-03-01
Schäffer & Poeschel (Verlag),Herausgebertätigkeit,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Bäuerle, Lukas",,2024-10-01,2026-03-31
Energy Research and Social Science (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Bäuerle, Lukas",,2025-01-01,
Zeitschrift für Politikwissenschaft (Fachzeitschrift oder Schriftenreihe),Herausgebertätigkeit,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Theine, Hendrik","Fischer, Torben (+2 weitere)",2023-01-01,2024-01-01
European Journal of Communication (Fachzeitschrift oder Schriftenreihe),Herausgebertätigkeit,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Theine, Hendrik","Sevignani, Sebastian",2024-01-01,2025-01-01
International Journal of Communication (Fachzeitschrift oder Schriftenreihe),Herausgebertätigkeit,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Theine, Hendrik","Sevignani, Sebastian",2024-01-01,2025-01-01
Review of Evolutionary Political Economy (Fachzeitschrift oder Schriftenreihe),Herausgebertätigkeit,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gastherausgeber*in,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+1 weitere)","Burnazoglu, Merve",2023-12-01,2025-04-01
Journal of Institutional Economics (JOIE) (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2025-04-30,2025-05-23
Constellations (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2018-10-01,2018-10-31
Zeitschrift für Politikwissenschaft (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2021-11-01,2021-11-30
Journal of Language and Politics (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2017-11-01,2017-11-30
Heterodox Economics Newsletter (Fachzeitschrift oder Schriftenreihe),Herausgebertätigkeit,,Begutachtung von Publikationen und Herausgebertätigkeiten,Herausgeber*in,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2013-01-01,2026-12-31
Heterodox Economics Newsletter (Fachzeitschrift oder Schriftenreihe),Herausgebertätigkeit,,Begutachtung von Publikationen und Herausgebertätigkeiten,Herausgeber*in,"Erweitern, um Werte anzuzeigen","Rath, Johanna",,2019-01-01,2024-12-31
Review of Political Economy (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2022-03-01,2022-03-31
Cambridge Journal of Economics (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2022-03-01,2022-03-31
Review of International Political Economy (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2022-05-02,2022-05-02
Social Studies of Science (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2022-04-01,2022-04-30
European Journal of the History of Economic Thought (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2022-11-01,2022-11-30
Zeitschrift für Wirtschafts- und Unternehmensethik (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2022-05-01,2022-05-31
Expert Systems With Applications (Fachzeitschrift oder Schriftenreihe),Begutachtung von Publikationen,,Begutachtung von Publikationen und Herausgebertätigkeiten,Gutachter*in,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2022-04-01,2022-04-30
